Time,Department store retailing
Feb-2006,1037.7
Mar-2006,1204.5
Apr-2006,1348.6
May-2006,1267.6
Jun-2006,1429.0
Jul-2006,1412.0
Aug-2006,1239.2
Sep-2006,1219.1
Oct-2006,1344.6
Nov-2006,1623.3
Dec-2006,2611.1
Jan-2007,1267.3
Feb-2007,1047.0
Mar-2007,1331.6
Apr-2007,1302.6
May-2007,1365.1
Jun-2007,1491.5
Jul-2007,1462.3
Aug-2007,1315.5
Sep-2007,1353.3
Oct-2007,1440.6
Nov-2007,1687.9
Dec-2007,2747.0
Jan-2008,1397.8
Feb-2008,1140.5
Mar-2008,1351.7
Apr-2008,1396.6
May-2008,1421.1
Jun-2008,1401.6
Jul-2008,1582.3
Aug-2008,1268.4
Sep-2008,1383.3
Oct-2008,1452.4
Nov-2008,1675.9
Dec-2008,2886.1
Jan-2009,1451.0
Feb-2009,1056.6
Mar-2009,1386.9
Apr-2009,1509.1
May-2009,1519.4
Jun-2009,1500.5
Jul-2009,1570.7
Aug-2009,1341.5
Sep-2009,1399.9
Oct-2009,1534.3
Nov-2009,1736.6
Dec-2009,2795.1
Jan-2010,1469.1
Feb-2010,1111.9
Mar-2010,1379.9
Apr-2010,1389.7
May-2010,1427.2
Jun-2010,1551.4
Jul-2010,1581.0
Aug-2010,1324.0
Sep-2010,1422.0
Oct-2010,1464.9
Nov-2010,1705.5
Dec-2010,2752.4
Jan-2011,1412.6
Feb-2011,1117.5
Mar-2011,1321.6
Apr-2011,1472.6
May-2011,1408.9
Jun-2011,1471.9
Jul-2011,1532.5
Aug-2011,1293.5
Sep-2011,1345.7
Oct-2011,1404.7
Nov-2011,1660.0
Dec-2011,2730.5
Jan-2012,1362.4
Feb-2012,1131.7
Mar-2012,1349.2
Apr-2012,1391.2
May-2012,1456.9
Jun-2012,1616.4
Jul-2012,1423.4
Aug-2012,1359.0
Sep-2012,1367.8
Oct-2012,1442.6
Nov-2012,1672.9
Dec-2012,2753.3
Jan-2013,1397.4
Feb-2013,1113.6
Mar-2013,1397.3
Apr-2013,1339.1
May-2013,1441.9
Jun-2013,1537.4
Jul-2013,1390.6
Aug-2013,1337.2
Sep-2013,1359.4
Oct-2013,1463.3
Nov-2013,1668.9
Dec-2013,2725.5
Jan-2014,1451.0
Feb-2014,1064.9
Mar-2014,1293.2
Apr-2014,1442.9
May-2014,1411.8
Jun-2014,1461.6
Jul-2014,1501.6
Aug-2014,1254.2
Sep-2014,1356.4
Oct-2014,1478.7
Nov-2014,1687.7
Dec-2014,2756.9
Jan-2015,1471.2
Feb-2015,1053.8
Mar-2015,1367.2
Apr-2015,1442.2
May-2015,1428.7
Jun-2015,1480.9
Jul-2015,1540.9
Aug-2015,1331.9
Sep-2015,1400.1
Oct-2015,1566.3
Nov-2015,1730.5
Dec-2015,2913.6
Jan-2016,1519.2
Feb-2016,1155.8
Mar-2016,1451.5
Apr-2016,1451.0
May-2016,1449.7
Jun-2016,1596.1
Jul-2016,1468.3
Aug-2016,1293.9
Sep-2016,1393.5
Oct-2016,1497.4
Nov-2016,1684.3
Dec-2016,2850.4
Jan-2017,1428.5
Feb-2017,1092.4
Mar-2017,1370.3
Apr-2017,1522.6
May-2017,1452.4
Jun-2017,1557.2
Jul-2017,1445.5
Aug-2017,1303.1
Sep-2017,1407.2
Oct-2017,1518.3
Nov-2017,1730.4
Dec-2017,2822.6
Jan-2018,1413.1
Feb-2018,1099.4
Mar-2018,1416.2
Apr-2018,1402.7
May-2018,1518.0
Jun-2018,1587.2
Jul-2018,1426.7
Aug-2018,1343.6
Sep-2018,1398.8
Oct-2018,1524.8
Nov-2018,1745.1
Dec-2018,2813.5
Jan-2019,1409.6
Feb-2019,1115.2
Mar-2019,1355.7
Apr-2019,1474.6
May-2019,1512.0
Jun-2019,1570.2
Jul-2019,1439.2
Aug-2019,1381.4
Sep-2019,1384.2
Oct-2019,1544.5
Nov-2019,1826.3
Dec-2019,2819.9
Jan-2020,1417.3
Feb-2020,1180.2
Mar-2020,1241.4
Apr-2020,1177.0
May-2020,1697.2
Jun-2020,1557.7
Jul-2020,1528.0
Aug-2020,1236.8
Sep-2020,1360.2
Oct-2020,1562.4
Nov-2020,2070.7
Dec-2020,3012.7
Jan-2021,1514.0
Feb-2021,1197.7
Mar-2021,1600.2
Apr-2021,1596.8
May-2021,1602.1
Jun-2021,1560.2
Jul-2021,1313.9
Aug-2021,1032.5
Sep-2021,1137.6
Oct-2021,1493.4
Nov-2021,2106.2
Dec-2021,2765.5
Jan-2022,1446.9
Feb-2022,1259.6
Mar-2022,1599.3
Apr-2022,1725.0
May-2022,1767.6
Jun-2022,1817.9
Jul-2022,1760.3
Aug-2022,1618.0
Sep-2022,1744.1
Oct-2022,1830.9
Nov-2022,2292.6
Dec-2022,3088.2
Jan-2023,1687.8
Feb-2023,1356.7
Mar-2023,1674.2
Apr-2023,1820.6
May-2023,1833.5
Jun-2023,1777.5
Jul-2023,1740.5
Aug-2023,1629.2
Sep-2023,1782.4
Oct-2023,1832.3
Nov-2023,2363.7
Dec-2023,3189.0
Jan-2024,1672.6
Feb-2024,1435.1
Mar-2024,1729.1
Apr-2024,1728.6
May-2024,1806.4
Jun-2024,1859.0
Jul-2024,1746.4
Aug-2024,1699.7
Sep-2024,1718.4
Oct-2024,1862.0
Nov-2024,2380.5
Dec-2024,3216.1
Jan-2025,1726.0
Feb-2025,1435.0
Mar-2025,1732.7
